onset	duration	sample	type	value
142.8874	0.0002	35722.85	Response	R128
143.036	0.0002	35760	SyncStatus	Sync On
143.1282	0.0002	35783.05	Stimulus	S  5
143.6558	0	35914.95	n/a	QRS
144.129	0.0002	36033.25	Stimulus	S  5
144.5158	0	36129.95	n/a	QRS
144.9874	0.0002	36247.85	Response	R128
145.036	0.0002	36260	SyncStatus	Sync On
145.1338	0.0002	36284.45	Stimulus	S  5
145.3258	0	36332.45	n/a	QRS
146.1338	0.0002	36534.45	Stimulus	S  5
146.1458	0	36537.45	n/a	QRS
146.9758	0	36744.95	n/a	QRS
147.036	0.0002	36760	SyncStatus	Sync On
147.0874	0.0002	36772.85	Response	R128
147.1338	0.0002	36784.45	Stimulus	S  5
147.8858	0	36972.45	n/a	QRS
148.1336	0.0002	37034.4	Stimulus	S  5
148.8058	0	37202.45	n/a	QRS
149.036	0.0002	37260	SyncStatus	Sync On
149.1336	0.0002	37284.4	Stimulus	S  5
149.1874	0.0002	37297.85	Response	R128
149.7358	0	37434.95	n/a	QRS
150.1336	0.0002	37534.4	Stimulus	S  5
150.6058	0	37652.45	n/a	QRS
151.036	0.0002	37760	SyncStatus	Sync On
151.1334	0.0002	37784.35	Stimulus	S  5
151.2874	0.0002	37822.85	Response	R128
151.4458	0	37862.45	n/a	QRS
152.1334	0.0002	38034.35	Stimulus	S  5
152.2558	0	38064.95	n/a	QRS
153.036	0.0002	38260	SyncStatus	Sync On
153.1158	0	38279.95	n/a	QRS
153.1382	0.0002	38285.55	Stimulus	S  5
153.3874	0.0002	38347.85	Response	R128
154.0158	0	38504.95	n/a	QRS
154.139	0.0002	38535.75	Stimulus	S  5
154.9058	0	38727.45	n/a	QRS
155.036	0.0002	38760	SyncStatus	Sync On
155.14	0.0002	38786	Stimulus	S  5
155.4874	0.0002	38872.85	Response	R128
155.7958	0	38949.95	n/a	QRS
156.14	0.0002	39036	Stimulus	S  5
156.6458	0	39162.45	n/a	QRS
157.036	0.0002	39260	SyncStatus	Sync On
157.1382	0.0002	39285.55	Stimulus	S  5
157.4858	0	39372.45	n/a	QRS
157.5874	0.0002	39397.85	Response	R128
158.1412	0.0002	39536.3	Stimulus	S  5
158.3158	0	39579.95	n/a	QRS
159.036	0.0002	39760	SyncStatus	Sync On
159.1422	0.0002	39786.55	Stimulus	S  5
159.1758	0	39794.95	n/a	QRS
159.6874	0.0002	39922.85	Response	R128
160.0758	0	40019.95	n/a	QRS
160.142	0.0002	40036.5	Stimulus	S  5
160.9258	0	40232.45	n/a	QRS
161.036	0.0002	40260	SyncStatus	Sync On
161.1462	0.0002	40287.55	Stimulus	S  5
161.7874	0.0002	40447.85	Response	R128
161.7958	0	40449.95	n/a	QRS
162.1494	0.0002	40538.35	Stimulus	S  5
162.6758	0	40669.95	n/a	QRS
163.036	0.0002	40760	SyncStatus	Sync On
163.1496	0.0002	40788.4	Stimulus	S  5
163.5758	0	40894.95	n/a	QRS
163.8874	0.0002	40972.85	Response	R128
164.1504	0.0002	41038.6	Stimulus	S  5
164.4458	0	41112.45	n/a	QRS
165.036	0.0002	41260	SyncStatus	Sync On
165.1504	0.0002	41288.6	Stimulus	S  5
165.3258	0	41332.45	n/a	QRS
165.9874	0.0002	41497.85	Response	R128
166.1504	0.0002	41538.6	Stimulus	S  5
166.1758	0	41544.95	n/a	QRS
167.0358	0	41759.95	n/a	QRS
167.036	0.0002	41760	SyncStatus	Sync On
167.1492	0.0002	41788.3	Stimulus	S  5
167.8958	0	41974.95	n/a	QRS
168.0874	0.0002	42022.85	Response	R128
168.1512	0.0002	42038.8	Stimulus	S  5
168.8158	0	42204.95	n/a	QRS
169.036	0.0002	42260	SyncStatus	Sync On
169.1522	0.0002	42289.05	Stimulus	S  5
169.6858	0	42422.45	n/a	QRS
170.1534	0.0002	42539.35	Stimulus	S  5
170.1874	0.0002	42547.85	Response	R128
170.5558	0	42639.95	n/a	QRS
171.036	0.0002	42760	SyncStatus	Sync On
171.1492	0.0002	42788.3	Stimulus	S  5
171.4558	0	42864.95	n/a	QRS
172.1502	0.0002	43038.55	Stimulus	S  5
172.2874	0.0002	43072.85	Response	R128
172.4058	0	43102.45	n/a	QRS
173.036	0.0002	43260	SyncStatus	Sync On
173.1584	0.0002	43290.6	Stimulus	S  5
173.3458	0	43337.45	n/a	QRS
174.1582	0.0002	43540.55	Stimulus	S  5
174.2058	0	43552.45	n/a	QRS
174.3874	0.0002	43597.85	Response	R128
175.0258	0	43757.45	n/a	QRS
175.036	0.0002	43760	SyncStatus	Sync On
175.1604	0.0002	43791.1	Stimulus	S  5
175.8458	0	43962.45	n/a	QRS
176.1654	0.0002	44042.35	Stimulus	S  5
176.4874	0.0002	44122.85	Response	R128
176.6758	0	44169.95	n/a	QRS
177.036	0.0002	44260	SyncStatus	Sync On
177.1652	0.0002	44292.3	Stimulus	S  5
177.5858	0	44397.45	n/a	QRS
178.1652	0.0002	44542.3	Stimulus	S  5
178.5758	0	44644.95	n/a	QRS
178.5874	0.0002	44647.85	Response	R128
179.036	0.0002	44760	SyncStatus	Sync On
179.1652	0.0002	44792.3	Stimulus	S  5
179.4858	0	44872.45	n/a	QRS
180.165	0.0002	45042.25	Stimulus	S  5
180.3958	0	45099.95	n/a	QRS
180.6874	0.0002	45172.85	Response	R128
181.036	0.0002	45260	SyncStatus	Sync On
181.1654	0.0002	45292.35	Stimulus	S  5
181.3858	0	45347.45	n/a	QRS
182.165	0.0002	45542.25	Stimulus	S  5
182.3058	0	45577.45	n/a	QRS
182.7874	0.0002	45697.85	Response	R128
183.036	0.0002	45760	SyncStatus	Sync On
183.1684	0.0002	45793.1	Stimulus	S  5
183.1958	0	45799.95	n/a	QRS
184.0558	0	46014.95	n/a	QRS
184.1694	0.0002	46043.35	Stimulus	S  5
184.8874	0.0002	46222.85	Response	R128
184.9358	0	46234.95	n/a	QRS
185.036	0.0002	46260	SyncStatus	Sync On
185.1684	0.0002	46293.1	Stimulus	S  5
185.8358	0	46459.95	n/a	QRS
186.1694	0.0002	46543.35	Stimulus	S  5
186.7558	0	46689.95	n/a	QRS
186.9874	0.0002	46747.85	Response	R128
187.036	0.0002	46760	SyncStatus	Sync On
187.1684	0.0002	46793.1	Stimulus	S  5
187.5858	0	46897.45	n/a	QRS
188.1724	0.0002	47044.1	Stimulus	S  5
188.4258	0	47107.45	n/a	QRS
189.036	0.0002	47260	SyncStatus	Sync On
189.0874	0.0002	47272.85	Response	R128
189.1724	0.0002	47294.1	Stimulus	S  5
189.2558	0	47314.95	n/a	QRS
190.1734	0.0002	47544.35	Stimulus	S  5
190.1958	0	47549.95	n/a	QRS
191.036	0.0002	47760	SyncStatus	Sync On
191.1764	0.0002	47795.1	Stimulus	S  5
191.1874	0.0002	47797.85	Response	R128
191.3258	0	47832.45	n/a	QRS
192.181	0.0002	48046.25	Stimulus	S  5
192.3758	0	48094.95	n/a	QRS
193.036	0.0002	48260	SyncStatus	Sync On
193.181	0.0002	48296.25	Stimulus	S  5
193.2874	0.0002	48322.85	Response	R128
193.3758	0	48344.95	n/a	QRS
194.181	0.0002	48546.25	Stimulus	S  5
194.3258	0	48582.45	n/a	QRS
195.036	0.0002	48760	SyncStatus	Sync On
195.1816	0.0002	48796.4	Stimulus	S  5
195.2658	0	48817.45	n/a	QRS
195.3874	0.0002	48847.85	Response	R128
196.1816	0.0002	49046.4	Stimulus	S  5
196.2158	0	49054.95	n/a	QRS
197.036	0.0002	49260	SyncStatus	Sync On
197.1558	0	49289.95	n/a	QRS
197.1826	0.0002	49296.65	Stimulus	S  5
197.4874	0.0002	49372.85	Response	R128
198.0558	0	49514.95	n/a	QRS
198.1806	0.0002	49546.15	Stimulus	S  5
198.9158	0	49729.95	n/a	QRS
199.036	0.0002	49760	SyncStatus	Sync On
199.1826	0.0002	49796.65	Stimulus	S  5
199.5874	0.0002	49897.85	Response	R128
199.7358	0	49934.95	n/a	QRS
200.1836	0.0002	50046.9	Stimulus	S  5
200.5958	0	50149.95	n/a	QRS
201.036	0.0002	50260	SyncStatus	Sync On
201.1864	0.0002	50297.6	Stimulus	S  5
201.4658	0	50367.45	n/a	QRS
201.6874	0.0002	50422.85	Response	R128
202.1806	0.0002	50546.15	Stimulus	S  5
202.4058	0	50602.45	n/a	QRS
203.036	0.0002	50760	SyncStatus	Sync On
203.1886	0.0002	50798.15	Stimulus	S  5
203.3758	0	50844.95	n/a	QRS
203.7874	0.0002	50947.85	Response	R128
204.1886	0.0002	51048.15	Stimulus	S  5
204.2858	0	51072.45	n/a	QRS
205.036	0.0002	51260	SyncStatus	Sync On
205.1758	0	51294.95	n/a	QRS
205.1886	0.0002	51298.15	Stimulus	S  5
205.8874	0.0002	51472.85	Response	R128
206.0958	0	51524.95	n/a	QRS
206.1906	0.0002	51548.65	Stimulus	S  5
206.9858	0	51747.45	n/a	QRS
207.036	0.0002	51760	SyncStatus	Sync On
207.1926	0.0002	51799.15	Stimulus	S  5
207.8758	0	51969.95	n/a	QRS
207.9874	0.0002	51997.85	Response	R128
208.1968	0.0002	52050.2	Stimulus	S  5
208.7458	0	52187.45	n/a	QRS
209.036	0.0002	52260	SyncStatus	Sync On
209.1966	0.0002	52300.15	Stimulus	S  5
209.5858	0	52397.45	n/a	QRS
210.0874	0.0002	52522.85	Response	R128
210.1966	0.0002	52550.15	Stimulus	S  5
210.4058	0	52602.45	n/a	QRS
211.036	0.0002	52760	SyncStatus	Sync On
211.1966	0.0002	52800.15	Stimulus	S  5
211.2858	0	52822.45	n/a	QRS
212.1874	0.0002	53047.85	Response	R128
212.1964	0.0002	53050.1	Stimulus	S  5
212.2658	0	53067.45	n/a	QRS
213.036	0.0002	53260	SyncStatus	Sync On
213.1984	0.0002	53300.6	Stimulus	S  5
213.2158	0	53304.95	n/a	QRS
214.1058	0	53527.45	n/a	QRS
214.1986	0.0002	53550.65	Stimulus	S  5
214.2874	0.0002	53572.85	Response	R128
214.9458	0	53737.45	n/a	QRS
215.036	0.0002	53760	SyncStatus	Sync On
215.2006	0.0002	53801.15	Stimulus	S  5
215.7558	0	53939.95	n/a	QRS
216.1998	0.0002	54050.95	Stimulus	S  5
216.3874	0.0002	54097.85	Response	R128
216.5858	0	54147.45	n/a	QRS
217.036	0.0002	54260	SyncStatus	Sync On
217.2028	0.0002	54301.7	Stimulus	S  5
217.4258	0	54357.45	n/a	QRS
218.2028	0.0002	54551.7	Stimulus	S  5
218.3158	0	54579.95	n/a	QRS
218.4874	0.0002	54622.85	Response	R128
219.036	0.0002	54760	SyncStatus	Sync On
219.2036	0.0002	54801.9	Stimulus	S  5
219.4458	0	54862.45	n/a	QRS
220.2038	0.0002	55051.95	Stimulus	S  5
220.4058	0	55102.45	n/a	QRS
220.5874	0.0002	55147.85	Response	R128
221.036	0.0002	55260	SyncStatus	Sync On
221.2068	0.0002	55302.7	Stimulus	S  5
221.3058	0	55327.45	n/a	QRS
222.1998	0.0002	55550.95	Stimulus	S  5
222.2258	0	55557.45	n/a	QRS
222.6874	0.0002	55672.85	Response	R128
223.036	0.0002	55760	SyncStatus	Sync On
223.1558	0	55789.95	n/a	QRS
223.2088	0.0002	55803.2	Stimulus	S  5
224.0458	0	56012.45	n/a	QRS
224.2124	0.0002	56054.1	Stimulus	S  5
224.7874	0.0002	56197.85	Response	R128
224.8758	0	56219.95	n/a	QRS
225.036	0.0002	56260	SyncStatus	Sync On
225.2124	0.0002	56304.1	Stimulus	S  5
225.7058	0	56427.45	n/a	QRS
226.2122	0.0002	56554.05	Stimulus	S  5
226.5358	0	56634.95	n/a	QRS
226.8874	0.0002	56722.85	Response	R128
227.036	0.0002	56760	SyncStatus	Sync On
227.2128	0.0002	56804.2	Stimulus	S  5
227.4258	0	56857.45	n/a	QRS
228.2128	0.0002	57054.2	Stimulus	S  5
228.3358	0	57084.95	n/a	QRS
228.9874	0.0002	57247.85	Response	R128
229.036	0.0002	57260	SyncStatus	Sync On
229.2128	0.0002	57304.2	Stimulus	S  5
229.2358	0	57309.95	n/a	QRS
230.0958	0	57524.95	n/a	QRS
230.2138	0.0002	57554.45	Stimulus	S  5
230.9658	0	57742.45	n/a	QRS
231.036	0.0002	57760	SyncStatus	Sync On
231.0874	0.0002	57772.85	Response	R128
231.212	0.0002	57804	Stimulus	S  5
231.8558	0	57964.95	n/a	QRS
232.212	0.0002	58054	Stimulus	S  5
232.7658	0	58192.45	n/a	QRS
233.036	0.0002	58260	SyncStatus	Sync On
233.1874	0.0002	58297.85	Response	R128
233.2188	0.0002	58305.7	Stimulus	S  5
233.6458	0	58412.45	n/a	QRS
234.219	0.0002	58555.75	Stimulus	S  5
234.4858	0	58622.45	n/a	QRS
235.036	0.0002	58760	SyncStatus	Sync On
235.2198	0.0002	58805.95	Stimulus	S  5
235.2858	0	58822.45	n/a	QRS
235.2874	0.0002	58822.85	Response	R128
236.0858	0	59022.45	n/a	QRS
236.22	0.0002	59056	Stimulus	S  5
236.9158	0	59229.95	n/a	QRS
237.036	0.0002	59260	SyncStatus	Sync On
237.223	0.0002	59306.75	Stimulus	S  5
237.3874	0.0002	59347.85	Response	R128
237.7858	0	59447.45	n/a	QRS
238.223	0.0002	59556.75	Stimulus	S  5
238.7558	0	59689.95	n/a	QRS
239.036	0.0002	59760	SyncStatus	Sync On
239.223	0.0002	59806.75	Stimulus	S  5
239.4874	0.0002	59872.85	Response	R128
239.7458	0	59937.45	n/a	QRS
240.228	0.0002	60058	Stimulus	S  5
240.6258	0	60157.45	n/a	QRS
241.036	0.0002	60260	SyncStatus	Sync On
241.228	0.0002	60308	Stimulus	S  5
241.4858	0	60372.45	n/a	QRS
241.5874	0.0002	60397.85	Response	R128
242.228	0.0002	60558	Stimulus	S  5
242.3958	0	60599.95	n/a	QRS
243.036	0.0002	60760	SyncStatus	Sync On
243.2288	0.0002	60808.2	Stimulus	S  5
243.3358	0	60834.95	n/a	QRS
243.6874	0.0002	60922.85	Response	R128
244.23	0.0002	61058.5	Stimulus	S  5
244.2458	0	61062.45	n/a	QRS
245.036	0.0002	61260	SyncStatus	Sync On
245.1058	0	61277.45	n/a	QRS
245.23	0.0002	61308.5	Stimulus	S  5
245.7874	0.0002	61447.85	Response	R128
245.9358	0	61484.95	n/a	QRS
246.23	0.0002	61558.5	Stimulus	S  5
246.7258	0	61682.45	n/a	QRS
247.036	0.0002	61760	SyncStatus	Sync On
247.233	0.0002	61809.25	Stimulus	S  5
247.5458	0	61887.45	n/a	QRS
247.8874	0.0002	61972.85	Response	R128
